7B,,70B,,13B,,34B v2,
X,Y,X,Y,X,Y,X,Y
2.135068261712696,5.67145762818818,2.135068261712696,5.387927639918842,8.532817105836056,3.0649221254266004,2210.7407427431235,1.4417044827731889
3.396975674854875,4.703963891061202,3.396975674854875,4.441919630986654,13.576040010664132,2.488957737477002,1389.4954943731361,1.4680379598952795
5.404718875966568,3.9727780576482625,5.404718875966568,3.650980098708243,21.600001510063358,2.186150682125697,873.326162382842,1.454811639925331
8.599115485122592,3.34514120539374,8.532817105836056,2.964882889084697,34.36643269084734,2.0151409460246823,553.1681197617227,1.4680379598952795
13.576040010664132,2.7494968353465348,13.576040010664132,2.364528674549281,54.256750713714545,1.8463346364468831,347.67740747657774,1.5687765421676607
21.600001510063358,2.4739856531117845,21.600001510063358,2.058148169308335,86.99530164663707,1.696780166273288,218.52231781127077,1.5974310560964657
34.36643269084734,2.253107019185151,34.36643269084734,1.8857391883332701,137.34571863093225,1.61682425076669,137.34571863093225,1.554642615746889
54.67831543179723,2.058148169308335,54.67831543179723,1.701906715025687,218.52231781127077,1.6563198124307354,86.99530164663707,1.6413971630100512
86.32457597552673,1.8519130400109565,86.99530164663707,1.5782704754529915,347.67740747657774,1.6364528834535221,54.67831543179723,1.7646469312386575
137.34571863093225,1.7806900974507098,137.34571863093225,1.503898990395478,548.9032450921546,1.5313684823272344,34.36643269084734,1.9434946713988266
218.52231781127077,1.8077534851235078,218.52231781127077,1.5359952662433745,873.326162382842,1.5084427796536233,21.600001510063358,2.1147945967772817
347.67740747657774,1.748748306281974,347.67740747657774,1.5130002972412333,1389.4954943731361,1.5313684823272344,13.576040010664132,2.422289057613663
548.9032450921546,1.6613241167223403,553.1681197617227,1.4158433721949366,2210.7407427431235,1.4724734008094114,,
873.326162382842,1.651330582296661,873.326162382842,1.403087300499544,,,,
1389.4954943731361,1.6364528834535221,1389.4954943731361,1.4073265034280422,,,,
2210.7407427431235,1.5830389662084277,2210.7407427431235,1.3696301622216445,,,,
